,0,1,2,3
247,FL12049,100.0,Hillary Clinton,2147
248,FL12043,100.0,Donald Trump,2996
249,FL12043,100.0,Hillary Clinton,1271
250,FL12041,100.0,Donald Trump,6740
251,FL12041,100.0,Hillary Clinton,1457
252,FL12047,100.0,Donald Trump,3439
253,FL12047,100.0,Hillary Clinton,1899
254,FL12045,100.0,Donald Trump,5320
255,FL12045,100.0,Hillary Clinton,1715
256,SD46035,100.0,Donald Trump,5157
257,SD46035,100.0,Hillary Clinton,2355
258,ND38049,100.0,Donald Trump,1991
259,ND38049,100.0,Hillary Clinton,474
260,PA42069,100.0,Hillary Clinton,51593
261,PA42069,100.0,Donald Trump,48102
262,NC37179,100.0,Donald Trump,66265
263,NC37179,100.0,Hillary Clinton,34051
264,NC37177,100.0,Donald Trump,968
265,NC37177,100.0,Hillary Clinton,705
266,NC37175,100.0,Donald Trump,10441
267,NC37175,100.0,Hillary Clinton,6520
268,NC37173,100.0,Donald Trump,3557
269,NC37173,100.0,Hillary Clinton,2186
270,NC37171,100.0,Donald Trump,23495
271,NC37171,100.0,Hillary Clinton,7438
272,WIWI,100.0,Donald Trump,1403694
273,WIWI,100.0,Hillary Clinton,1380823
274,FL12133,100.0,Donald Trump,8630
275,FL12133,100.0,Hillary Clinton,2261
276,FL12131,100.0,Donald Trump,25695
277,FL12131,100.0,Hillary Clinton,6861
278,MI26049,100.0,Hillary Clinton,102744
279,MI26049,100.0,Donald Trump,84174
280,KS20147,100.0,Donald Trump,2200
281,KS20147,100.0,Hillary Clinton,296
282,OK40119,100.0,Donald Trump,16644
283,OK40119,100.0,Hillary Clinton,8785
284,KS20145,100.0,Donald Trump,1872
285,KS20145,100.0,Hillary Clinton,567
286,KS20143,100.0,Donald Trump,2261
287,KS20143,100.0,Hillary Clinton,424
288,KS20141,100.0,Donald Trump,1437
289,KS20141,100.0,Hillary Clinton,231
290,GA13153,100.0,Donald Trump,35351
291,GA13153,100.0,Hillary Clinton,22460
292,OK40111,100.0,Donald Trump,8926
293,OK40111,100.0,Hillary Clinton,4379
294,OK40117,100.0,Donald Trump,4716
295,OK40117,100.0,Hillary Clinton,1341
296,OK40115,100.0,Donald Trump,7627
297,OK40115,100.0,Hillary Clinton,2584
298,KS20149,100.0,Donald Trump,7451
299,KS20149,100.0,Hillary Clinton,2191
300,GA13293,100.0,Donald Trump,7288
301,GA13293,100.0,Hillary Clinton,3471
302,MO29009,100.0,Donald Trump,11427
303,MO29009,100.0,Hillary Clinton,2710
304,KY21161,100.0,Donald Trump,4944
305,KY21161,100.0,Hillary Clinton,1970
306,TX48385,100.0,Donald Trump,1382
307,TX48385,100.0,Hillary Clinton,262
308,KY21163,100.0,Donald Trump,8660
309,KY21163,100.0,Hillary Clinton,3026
310,TX48387,100.0,Donald Trump,3924
311,TX48387,100.0,Hillary Clinton,1148
312,IL17137,100.0,Donald Trump,9060
313,IL17137,100.0,Hillary Clinton,4693
314,KY21165,100.0,Donald Trump,2010
315,KY21165,100.0,Hillary Clinton,700
316,TX48381,100.0,Donald Trump,43379
317,TX48381,100.0,Hillary Clinton,8340
318,OK40027,100.0,Donald Trump,62469
319,OK40027,100.0,Hillary Clinton,38790
320,OK40025,100.0,Donald Trump,962
321,OK40025,100.0,Hillary Clinton,70
322,IL17135,100.0,Donald Trump,8616
323,IL17135,100.0,Hillary Clinton,3490
324,OK40023,100.0,Donald Trump,4202
325,OK40023,100.0,Hillary Clinton,1064
326,KY21167,100.0,Donald Trump,7740
327,KY21167,100.0,Hillary Clinton,2395
328,OK40021,100.0,Donald Trump,9992
329,OK40021,100.0,Hillary Clinton,5455
330,TX48383,100.0,Donald Trump,709
331,TX48383,100.0,Hillary Clinton,167
332,OK40029,100.0,Donald Trump,1892
333,OK40029,100.0,Hillary Clinton,411
334,IL17133,100.0,Donald Trump,12614
335,IL17133,100.0,Hillary Clinton,5522
336,TN47075,100.0,Hillary Clinton,3704
337,TN47075,100.0,Donald Trump,3010
338,IL17131,100.0,Donald Trump,4800
339,IL17131,100.0,Hillary Clinton,3061
340,TX48221,100.0,Donald Trump,21367
341,TX48221,100.0,Hillary Clinton,4001
342,AR05003,100.0,Donald Trump,5338
343,AR05003,100.0,Hillary Clinton,2408
344,AR05001,100.0,Donald Trump,3825
345,AR05001,100.0,Hillary Clinton,1939
346,AR05007,100.0,Donald Trump,60751
347,AR05007,100.0,Hillary Clinton,27894
348,AR05005,100.0,Donald Trump,14655
349,AR05005,100.0,Hillary Clinton,4163
350,MO29015,100.0,Donald Trump,7212
351,MO29015,100.0,Hillary Clinton,2024
352,TX48227,100.0,Donald Trump,6635
353,TX48227,100.0,Hillary Clinton,1768
354,AR05009,100.0,Donald Trump,12225
355,AR05009,100.0,Hillary Clinton,2925
356,MO29011,100.0,Donald Trump,4958
357,MO29011,100.0,Hillary Clinton,795
358,MO29013,100.0,Donald Trump,6000
359,MO29013,100.0,Hillary Clinton,1617
360,WV54065,100.0,Donald Trump,5718
361,WV54065,100.0,Hillary Clinton,1568
362,WV54067,100.0,Donald Trump,7169
363,WV54067,100.0,Hillary Clinton,1821
364,WV54061,100.0,Donald Trump,18278
365,WV54061,100.0,Hillary Clinton,14568
366,TX48225,100.0,Donald Trump,6205
367,TX48225,100.0,Hillary Clinton,1978
368,WV54063,100.0,Donald Trump,4337
369,WV54063,100.0,Hillary Clinton,1089
370,WV54069,100.0,Donald Trump,11077
371,WV54069,100.0,Hillary Clinton,5452
372,MT30079,100.0,Donald Trump,555
373,MT30079,100.0,Hillary Clinton,100
374,MO29169,88.89,Donald Trump,9870
375,MO29169,88.89,Hillary Clinton,2918
376,UT49007,100.0,Donald Trump,5182
377,UT49007,100.0,Hillary Clinton,1696
378,UT49001,100.0,Donald Trump,1838
379,UT49001,100.0,Hillary Clinton,264
380,UT49003,100.0,Donald Trump,10324
381,UT49003,100.0,Hillary Clinton,1814
382,MO29161,100.0,Donald Trump,12699
383,MO29161,100.0,Hillary Clinton,4761
384,WA53011,96.8,Hillary Clinton,90697
385,WA53011,96.8,Donald Trump,90590
386,MO29163,100.0,Donald Trump,5274
387,MO29163,100.0,Hillary Clinton,1806
388,MO29165,100.0,Donald Trump,24975
389,MO29165,100.0,Hillary Clinton,18915
390,MO29167,100.0,Donald Trump,10435
391,MO29167,100.0,Hillary Clinton,2630
392,MI26105,100.0,Donald Trump,8505
393,MI26105,100.0,Hillary Clinton,5281
394,MI26107,100.0,Donald Trump,10305
395,MI26107,100.0,Hillary Clinton,5827
396,MI26101,100.0,Donald Trump,6915
397,MI26101,100.0,Hillary Clinton,4979
398,MI26103,100.0,Hillary Clinton,16042
399,MI26103,100.0,Donald Trump,14646
400,MI26109,100.0,Donald Trump,6704
401,MI26109,100.0,Hillary Clinton,3539
402,WA53039,85.71,Donald Trump,5390
403,WA53039,85.71,Hillary Clinton,3781
404,MO29125,100.0,Donald Trump,3559
405,MO29125,100.0,Hillary Clinton,794
406,SD46011,100.0,Donald Trump,6748
407,SD46011,100.0,Hillary Clinton,4879
408,MT30073,100.0,Donald Trump,1786
409,MT30073,100.0,Hillary Clinton,737
410,MO29127,100.0,Donald Trump,9418
411,MO29127,100.0,Hillary Clinton,2993
412,VA51105,100.0,Donald Trump,7542
413,VA51105,100.0,Hillary Clinton,1627
414,SD46013,100.0,Donald Trump,9613
415,SD46013,100.0,Hillary Clinton,5452
416,WI55059,100.0,Donald Trump,36025
417,WI55059,100.0,Hillary Clinton,35770
418,MO29121,100.0,Donald Trump,5794
419,MO29121,100.0,Hillary Clinton,1518
420,WI55055,100.0,Donald Trump,23409
421,WI55055,100.0,Hillary Clinton,16559
422,WI55053,100.0,Donald Trump,4907
423,WI55053,100.0,Hillary Clinton,3821
424,WI55051,100.0,Donald Trump,2090
425,WI55051,100.0,Hillary Clinton,1273
426,CT09003,100.0,Hillary Clinton,233789
427,CT09003,100.0,Donald Trump,147912
428,IN18109,100.0,Donald Trump,23671
429,IN18109,100.0,Hillary Clinton,6037
430,CT09001,99.33,Hillary Clinton,238723
431,CT09001,99.33,Donald Trump,155457
432,VA51735,100.0,Donald Trump,5089
433,VA51735,100.0,Hillary Clinton,1599
434,CT09007,100.0,Hillary Clinton,45306
435,CT09007,100.0,Donald Trump,38847
436,MO29123,100.0,Donald Trump,4102
437,MO29123,100.0,Hillary Clinton,1005
438,CT09005,100.0,Donald Trump,53376
439,CT09005,100.0,Hillary Clinton,39836
440,IN18101,100.0,Donald Trump,3695
441,IN18101,100.0,Hillary Clinton,881
442,CT09009,100.0,Hillary Clinton,203601
443,CT09009,100.0,Donald Trump,158373
444,IN18103,100.0,Donald Trump,9975
445,IN18103,100.0,Hillary Clinton,2766
446,IN18105,100.0,Hillary Clinton,34183
447,IN18105,100.0,Donald Trump,20527
448,IN18107,100.0,Donald Trump,11051
449,IN18107,100.0,Hillary Clinton,3362
450,GA13263,100.0,Hillary Clinton,2001
451,GA13263,100.0,Donald Trump,1196
452,TX48411,100.0,Donald Trump,2025
453,TX48411,100.0,Hillary Clinton,293
454,GA13261,100.0,Hillary Clinton,5520
455,GA13261,100.0,Donald Trump,5275
456,TX48413,100.0,Donald Trump,819
457,TX48413,100.0,Hillary Clinton,209
458,GA13267,100.0,Donald Trump,5092
459,GA13267,100.0,Hillary Clinton,1678
460,TX48415,100.0,Donald Trump,4403
461,TX48415,100.0,Hillary Clinton,733
462,GA13265,100.0,Hillary Clinton,545
463,GA13265,100.0,Donald Trump,349
464,TX48417,100.0,Donald Trump,1378
465,TX48417,100.0,Hillary Clinton,103
466,MI26041,100.0,Donald Trump,11112
467,MI26041,100.0,Hillary Clinton,6431
468,TX48419,100.0,Donald Trump,7171
469,TX48419,100.0,Hillary Clinton,1757
470,KY21097,100.0,Donald Trump,5435
471,KY21097,100.0,Hillary Clinton,2031
472,CO08125,100.0,Donald Trump,3755
473,CO08125,100.0,Hillary Clinton,701
474,ILIL,99.08,Hillary Clinton,2977498
475,ILIL,99.08,Donald Trump,2118179
476,CO08123,100.0,Donald Trump,75882
477,CO08123,100.0,Hillary Clinton,45869
478,KY21093,100.0,Donald Trump,26970
479,KY21093,100.0,Hillary Clinton,13944
480,CO08121,100.0,Donald Trump,2284
481,CO08121,100.0,Hillary Clinton,289
482,KY21077,100.0,Donald Trump,2443
483,KY21077,100.0,Hillary Clinton,749
484,TX48239,100.0,Donald Trump,4266
485,TX48239,100.0,Hillary Clinton,904
486,GA13009,100.0,Hillary Clinton,7965
487,GA13009,100.0,Donald Trump,7691
488,TN47069,100.0,Donald Trump,4912
489,TN47069,100.0,Hillary Clinton,4174
490,KY21073,100.0,Donald Trump,11819
491,KY21073,100.0,Hillary Clinton,10717
492,MI26043,100.0,Donald Trump,8580
493,MI26043,100.0,Hillary Clinton,3923
494,KY21071,100.0,Donald Trump,11993
495,KY21071,100.0,Hillary Clinton,4015
496,OH39119,100.0,Donald Trump,23588
497,OH39119,100.0,Hillary Clinton,10926
498,GA13003,100.0,Donald Trump,1873
499,GA13003,100.0,Hillary Clinton,696
500,OH39117,100.0,Donald Trump,11722
501,OH39117,100.0,Hillary Clinton,3711
502,GA13001,100.0,Donald Trump,5492
503,GA13001,100.0,Hillary Clinton,1434
504,OH39115,100.0,Donald Trump,4315
505,OH39115,100.0,Hillary Clinton,1711
506,GA13007,100.0,Donald Trump,775
507,GA13007,100.0,Hillary Clinton,650
508,OH39113,100.0,Donald Trump,120766
509,OH39113,100.0,Hillary Clinton,117661
510,KY21079,100.0,Donald Trump,5904
511,KY21079,100.0,Hillary Clinton,1453
512,OH39111,100.0,Donald Trump,4781
513,OH39111,100.0,Hillary Clinton,1647
514,CO08023,100.0,Hillary Clinton,1109
515,CO08023,100.0,Donald Trump,581
516,IN18035,100.0,Donald Trump,24217
517,IN18035,100.0,Hillary Clinton,18100
518,CO08021,100.0,Donald Trump,1885
519,CO08021,100.0,Hillary Clinton,1753
520,IN18037,100.0,Donald Trump,13365
521,IN18037,100.0,Hillary Clinton,5389
522,CO08027,100.0,Donald Trump,2059
523,CO08027,100.0,Hillary Clinton,797
524,IN18031,100.0,Donald Trump,8488
525,IN18031,100.0,Hillary Clinton,2121
526,CO08025,100.0,Donald Trump,1069
527,CO08025,100.0,Hillary Clinton,336
528,IN18033,100.0,Donald Trump,12054
529,IN18033,100.0,Hillary Clinton,3941
530,IA19195,100.0,Donald Trump,2443
531,IA19195,100.0,Hillary Clinton,1523
532,CO08029,100.0,Donald Trump,11584
533,CO08029,100.0,Hillary Clinton,4048
534,IA19191,100.0,Donald Trump,5332
535,IA19191,100.0,Hillary Clinton,5238
536,IN18039,100.0,Donald Trump,41810
537,IN18039,100.0,Hillary Clinton,20667
538,IA19193,100.0,Donald Trump,24627
539,IA19193,100.0,Hillary Clinton,16102
540,VA51181,100.0,Hillary Clinton,2069
541,VA51181,100.0,Donald Trump,1785
542,ID16081,100.0,Donald Trump,2161
543,ID16081,100.0,Hillary Clinton,2157
544,ID16083,100.0,Donald Trump,21063
545,ID16083,100.0,Hillary Clinton,6844
546,ID16085,100.0,Donald Trump,2906
547,ID16085,100.0,Hillary Clinton,1913
548,VA51183,100.0,Hillary Clinton,2874
549,VA51183,100.0,Donald Trump,2055
550,ID16087,100.0,Donald Trump,3283
551,ID16087,100.0,Hillary Clinton,776
552,OH39023,100.0,Donald Trump,34311
553,OH39023,100.0,Hillary Clinton,22666
554,VA51683,100.0,Hillary Clinton,8395
555,VA51683,100.0,Donald Trump,5934
556,OH39021,100.0,Donald Trump,12314
557,OH39021,100.0,Hillary Clinton,4488
558,OH39027,100.0,Donald Trump,13466
559,OH39027,100.0,Hillary Clinton,3943
560,OH39025,100.0,Donald Trump,65960
561,OH39025,100.0,Hillary Clinton,26096
562,TX48305,100.0,Donald Trump,1546
563,TX48305,100.0,Hillary Clinton,403
564,OH39029,100.0,Donald Trump,31086
565,OH39029,100.0,Hillary Clinton,12273
566,VA51620,100.0,Hillary Clinton,2516
567,VA51620,100.0,Donald Trump,1421
568,TX48301,100.0,Donald Trump,57
569,TX48301,100.0,Hillary Clinton,4
570,TX48303,100.0,Donald Trump,65566
571,TX48303,100.0,Hillary Clinton,27956
572,TX48125,100.0,Donald Trump,755
573,TX48125,100.0,Hillary Clinton,128
574,TX48127,100.0,Hillary Clinton,2173
575,TX48127,100.0,Donald Trump,974
576,VA51840,100.0,Hillary Clinton,5161
577,VA51840,100.0,Donald Trump,4786
578,TX48121,98.12,Donald Trump,169175
579,TX48121,98.12,Hillary Clinton,110000
580,TX48123,100.0,Donald Trump,5510
581,TX48123,100.0,Hillary Clinton,1161
582,TX48129,100.0,Donald Trump,1225
583,TX48129,100.0,Hillary Clinton,190
584,NY36069,100.0,Donald Trump,24343
585,NY36069,100.0,Hillary Clinton,20233
586,NY36065,100.0,Donald Trump,48490
587,NY36065,100.0,Hillary Clinton,30749
588,NY36067,100.0,Hillary Clinton,102915
589,NY36067,100.0,Donald Trump,78277
590,NY36061,98.39,Hillary Clinton,515481
591,NY36061,98.39,Donald Trump,58935
592,NY36063,100.0,Donald Trump,49223
593,NY36063,100.0,Hillary Clinton,32888
594,SC45069,100.0,Hillary Clinton,5928
595,SC45069,100.0,Donald Trump,4257
596,WY56003,100.0,Donald Trump,4067
597,WY56003,100.0,Hillary Clinton,594
598,WY56005,100.0,Donald Trump,15778
599,WY56005,100.0,Hillary Clinton,1324
600,WY56007,100.0,Donald Trump,4409
601,WY56007,100.0,Hillary Clinton,1279
602,SC45061,100.0,Hillary Clinton,5170
603,SC45061,100.0,Donald Trump,2789
604,SC45063,100.0,Donald Trump,79866
605,SC45063,100.0,Hillary Clinton,35143
606,SC45065,100.0,Donald Trump,2651
607,SC45065,100.0,Hillary Clinton,2479
608,SC45067,100.0,Hillary Clinton,8522
609,SC45067,100.0,Donald Trump,5434
610,WA53073,98.44,Hillary Clinton,59402
611,WA53073,98.44,Donald Trump,40247
612,SD46029,100.0,Donald Trump,7764
613,SD46029,100.0,Hillary Clinton,3174
614,WA53071,81.25,Donald Trump,10775
615,WA53071,81.25,Hillary Clinton,7550
616,IL17199,100.0,Donald Trump,21503
617,IL17199,100.0,Hillary Clinton,8539
618,WI55033,100.0,Donald Trump,11487
619,WI55033,100.0,Hillary Clinton,9025
620,IL17195,100.0,Donald Trump,12597
621,IL17195,100.0,Hillary Clinton,11005
622,IL17197,100.0,Hillary Clinton,146230
623,IL17197,100.0,Donald Trump,129726
624,IL17191,100.0,Donald Trump,6963
625,IL17191,100.0,Hillary Clinton,1048
626,IL17193,100.0,Donald Trump,5639
627,IL17193,100.0,Hillary Clinton,1412
628,ND38087,100.0,Donald Trump,361
629,ND38087,100.0,Hillary Clinton,42
630,WA53075,63.64,Hillary Clinton,5521
631,WA53075,63.64,Donald Trump,5462
632,WA53031,91.67,Hillary Clinton,12556
633,WA53031,91.67,Donald Trump,5986
634,TN47085,100.0,Donald Trump,4928
635,TN47085,100.0,Hillary Clinton,1967
636,TN47087,100.0,Donald Trump,3229
637,TN47087,100.0,Hillary Clinton,1129
